;replica;k;time
1;1;1000;0.530000000000655
2;2;1000;0.5
3;3;1000;0.5
4;4;1000;0.5
5;5;1000;0.509999999999309
6;6;1000;0.520000000000437
7;7;1000;0.529999999999745
8;8;1000;0.510000000000218
9;9;1000;0.579999999999927
10;10;1000;0.640000000000327
11;11;1000;0.519999999999527
12;12;1000;0.550000000000182
13;13;1000;0.510000000000218
14;14;1000;0.529999999999745
15;15;1000;0.520000000000437
16;16;1000;0.509999999999309
17;17;1000;0.5
18;18;1000;0.520000000000437
19;19;1000;0.5
20;20;1000;0.5
21;21;1000;0.5
22;22;1000;0.550000000000182
23;23;1000;0.529999999999745
24;24;1000;0.529999999999745
25;25;1000;0.5600000000004
26;26;1000;0.659999999999854
27;27;1000;0.6899999999996
28;28;1000;0.700000000000728
29;29;1000;0.549999999999272
30;30;1000;0.700000000000728
31;1;5000;2.21999999999935
32;2;5000;2.0600000000004
33;3;5000;2.15999999999985
34;4;5000;1.89999999999964
35;5;5000;1.80000000000018
36;6;5000;1.84000000000015
37;7;5000;1.77999999999975
38;8;5000;1.78999999999996
39;9;5000;1.92000000000007
40;10;5000;2.03999999999996
41;11;5000;1.82999999999993
42;12;5000;1.8100000000004
43;13;5000;1.76999999999953
44;14;5000;1.8100000000004
45;15;5000;1.89000000000033
46;16;5000;1.84999999999945
47;17;5000;1.82999999999993
48;18;5000;1.76000000000022
49;19;5000;1.85999999999967
50;20;5000;1.78000000000065
51;21;5000;1.85999999999967
52;22;5000;1.82999999999993
53;23;5000;1.86999999999989
54;24;5000;1.74000000000069
55;25;5000;1.83999999999924
56;26;5000;1.88000000000011
57;27;5000;2.11999999999989
58;28;5000;1.88000000000011
59;29;5000;1.82999999999993
60;30;5000;1.78000000000065
61;1;10000;4.39999999999964
62;2;10000;4.4399999999996
63;3;10000;4.3100000000004
64;4;10000;4.52999999999975
65;5;10000;4.36000000000058
66;6;10000;4.40999999999985
67;7;10000;4.30000000000018
68;8;10000;4.30999999999949
69;9;10000;4.36999999999989
70;10;10000;4.32000000000062
71;11;10000;4.67999999999938
72;12;10000;4.35999999999967
73;13;10000;4.67000000000007
74;14;10000;4.3100000000004
75;15;10000;4.32999999999993
76;16;10000;4.38000000000011
77;17;10000;4.30999999999949
78;18;10000;4.32999999999993
79;19;10000;4.28999999999996
80;20;10000;4.30000000000018
81;21;10000;4.40999999999985
82;22;10000;4.3100000000004
83;23;10000;4.38999999999942
84;24;10000;4.36000000000058
85;25;10000;5.92000000000007
86;26;10000;7.09000000000015
87;27;10000;3.94999999999982
88;28;10000;4.13000000000011
89;29;10000;4
90;30;10000;3.94999999999982
91;1;15000;7.91000000000076
92;2;15000;8.05999999999949
93;3;15000;8.60999999999967
94;4;15000;7.95000000000073
95;5;15000;8.17999999999938
96;6;15000;8.21000000000004
97;7;15000;8.24000000000069
98;8;15000;7.82999999999993
99;9;15000;7.61999999999989
100;10;15000;7.63999999999942
101;11;15000;7.92000000000007
102;12;15000;8.13000000000011
103;13;15000;8.05000000000018
104;14;15000;9.10999999999967
105;15;15000;8.78999999999996
106;16;15000;8.42000000000007
107;17;15000;7.96000000000004
108;18;15000;7.36000000000058
109;19;15000;7.22999999999956
110;20;15000;7.42000000000007
111;21;15000;7.21000000000004
112;22;15000;7.51000000000022
113;23;15000;7.21999999999935
114;24;15000;7
115;25;15000;7.5
116;26;15000;7.09000000000015
117;27;15000;7.14000000000033
118;28;15000;7.07999999999993
119;29;15000;7.88000000000011
120;30;15000;8.92000000000007
121;1;20000;11.4700000000003
122;2;20000;11.1899999999996
123;3;20000;11.1099999999997
124;4;20000;11.2600000000002
125;5;20000;11.0900000000001
126;6;20000;11.3599999999997
127;7;20000;11.6000000000004
128;8;20000;13.1700000000001
129;9;20000;13.3000000000002
130;10;20000;12.6199999999999
131;11;20000;13.8000000000002
132;12;20000;11.8899999999994
133;13;20000;11.2799999999997
134;14;20000;11.9800000000005
135;15;20000;11.7200000000003
136;16;20000;11.2999999999993
137;17;20000;11.3000000000002
138;18;20000;11.4000000000005
139;19;20000;11.3800000000001
140;20;20000;11.3999999999996
141;21;20000;11.71
142;22;20000;13.1499999999996
143;23;20000;13.3200000000006
144;24;20000;12.3999999999996
145;25;20000;12.1899999999996
146;26;20000;11.9800000000005
147;27;20000;12.3500000000004
148;28;20000;13.4199999999992
149;29;20000;13.7800000000007
150;30;20000;13.2399999999998
151;1;25000;17
152;2;25000;33.25
153;3;25000;16.8199999999997
154;4;25000;17.6300000000001
155;5;25000;19.5900000000001
156;6;25000;16.8000000000002
157;7;25000;17.2299999999996
158;8;25000;18.5799999999999
159;9;25000;19.1300000000001
160;10;25000;18.3299999999999
161;11;25000;17.1700000000001
162;12;25000;16.8699999999999
163;13;25000;16.7200000000003
164;14;25000;17.2799999999997
